,Region,Country of Residence,Age Group,No of Arrivals,Year
287,South-East Asia,Philippines,65 and Over,28621,2019
288,South-East Asia,Philippines,Total,68359,2020
289,South-East Asia,Philippines,Under 25,7452,2020
290,South-East Asia,Philippines,25 - 34,22964,2020
291,South-East Asia,Philippines,35 - 44,16933,2020
292,South-East Asia,Philippines,45 - 54,10202,2020
293,South-East Asia,Philippines,55 - 64,7098,2020
294,South-East Asia,Philippines,65 and Over,3710,2020
295,South-East Asia,Singapore,Total,1074755,2015
296,South-East Asia,Singapore,Under 25,164801,2015
297,South-East Asia,Singapore,25 - 34,246017,2015
298,South-East Asia,Singapore,35 - 44,261964,2015
299,South-East Asia,Singapore,45 - 54,220208,2015
300,South-East Asia,Singapore,55 - 64,129863,2015
301,South-East Asia,Singapore,65 and Over,51902,2015
302,South-East Asia,Singapore,Total,1163309,2016
303,South-East Asia,Singapore,Under 25,188005,2016
304,South-East Asia,Singapore,25 - 34,322793,2016
305,South-East Asia,Singapore,35 - 44,243992,2016
306,South-East Asia,Singapore,45 - 54,207236,2016
307,South-East Asia,Singapore,55 - 64,139752,2016
308,South-East Asia,Singapore,65 and Over,61531,2016
309,South-East Asia,Singapore,Total,1259523,2017
310,South-East Asia,Singapore,Under 25,215076,2017
311,South-East Asia,Singapore,25 - 34,295008,2017
312,South-East Asia,Singapore,35 - 44,277058,2017
313,South-East Asia,Singapore,45 - 54,239411,2017
314,South-East Asia,Singapore,55 - 64,152684,2017
315,South-East Asia,Singapore,65 and Over,80286,2017
316,South-East Asia,Singapore,Total,1168112,2018
317,South-East Asia,Singapore,Under 25,186935,2018
318,South-East Asia,Singapore,25 - 34,270407,2018
319,South-East Asia,Singapore,35 - 44,252168,2018
320,South-East Asia,Singapore,45 - 54,221315,2018
321,South-East Asia,Singapore,55 - 64,153799,2018
322,South-East Asia,Singapore,65 and Over,83488,2018
323,South-East Asia,Singapore,Total,1150024,2019
324,South-East Asia,Singapore,Under 25,208544,2019
325,South-East Asia,Singapore,25 - 34,253622,2019
326,South-East Asia,Singapore,35 - 44,244883,2019
327,South-East Asia,Singapore,45 - 54,211412,2019
328,South-East Asia,Singapore,55 - 64,148950,2019
329,South-East Asia,Singapore,65 and Over,82613,2019
330,South-East Asia,Singapore,Total,132511,2020
331,South-East Asia,Singapore,Under 25,18403,2020
332,South-East Asia,Singapore,25 - 34,32018,2020
333,South-East Asia,Singapore,35 - 44,28108,2020
334,South-East Asia,Singapore,45 - 54,23269,2020
335,South-East Asia,Singapore,55 - 64,20015,2020
336,South-East Asia,Singapore,65 and Over,10698,2020
337,South-East Asia,Vietnam,Total,767643,2015
338,South-East Asia,Vietnam,Under 25,129167,2015
339,South-East Asia,Vietnam,25 - 34,227218,2015
340,South-East Asia,Vietnam,35 - 44,204943,2015
341,South-East Asia,Vietnam,45 - 54,117926,2015
342,South-East Asia,Vietnam,55 - 64,69554,2015
343,South-East Asia,Vietnam,65 and Over,18835,2015
344,South-East Asia,Vietnam,Total,863807,2016
345,South-East Asia,Vietnam,Under 25,215640,2016
346,South-East Asia,Vietnam,25 - 34,270653,2016
347,South-East Asia,Vietnam,35 - 44,139303,2016
348,South-East Asia,Vietnam,45 - 54,107187,2016
349,South-East Asia,Vietnam,55 - 64,85477,2016
350,South-East Asia,Vietnam,65 and Over,45547,2016
351,South-East Asia,Vietnam,Total,985695,2017
352,South-East Asia,Vietnam,Under 25,217673,2017
353,South-East Asia,Vietnam,25 - 34,341098,2017
354,South-East Asia,Vietnam,35 - 44,195204,2017
355,South-East Asia,Vietnam,45 - 54,118590,2017
356,South-East Asia,Vietnam,55 - 64,80438,2017
357,South-East Asia,Vietnam,65 and Over,32692,2017
358,South-East Asia,Vietnam,Total,1053723,2018
359,South-East Asia,Vietnam,Under 25,220518,2018
360,South-East Asia,Vietnam,25 - 34,348305,2018
361,South-East Asia,Vietnam,35 - 44,208113,2018
362,South-East Asia,Vietnam,45 - 54,131110,2018
363,South-East Asia,Vietnam,55 - 64,96258,2018
364,South-East Asia,Vietnam,65 and Over,49419,2018
365,South-East Asia,Vietnam,Total,1080609,2019
366,South-East Asia,Vietnam,Under 25,222579,2019
367,South-East Asia,Vietnam,25 - 34,359659,2019
368,South-East Asia,Vietnam,35 - 44,217111,2019
369,South-East Asia,Vietnam,45 - 54,140024,2019
370,South-East Asia,Vietnam,55 - 64,97277,2019
371,South-East Asia,Vietnam,65 and Over,43959,2019
372,South-East Asia,Vietnam,Total,131308,2020
373,South-East Asia,Vietnam,Under 25,25919,2020
374,South-East Asia,Vietnam,25 - 34,45778,2020
375,South-East Asia,Vietnam,35 - 44,26033,2020
376,South-East Asia,Vietnam,45 - 54,16899,2020
377,South-East Asia,Vietnam,55 - 64,11689,2020
378,South-East Asia,Vietnam,65 and Over,4990,2020
379,North-East Asia,China,Total,7981407,2015
380,North-East Asia,China,Under 25,892249,2015
381,North-East Asia,China,25 - 34,2603082,2015
382,North-East Asia,China,35 - 44,1813040,2015
383,North-East Asia,China,45 - 54,1375663,2015
384,North-East Asia,China,55 - 64,966111,2015
385,North-East Asia,China,65 and Over,331262,2015
386,North-East Asia,China,Total,8821148,2016
387,North-East Asia,China,Under 25,1324110,2016
388,North-East Asia,China,25 - 34,3238695,2016
389,North-East Asia,China,35 - 44,1680761,2016
390,North-East Asia,China,45 - 54,1242088,2016
391,North-East Asia,China,55 - 64,909752,2016
392,North-East Asia,China,65 and Over,425742,2016
393,North-East Asia,China,Total,9846818,2017
394,North-East Asia,China,Under 25,1603723,2017
395,North-East Asia,China,25 - 34,3155199,2017
396,North-East Asia,China,35 - 44,1899559,2017
397,North-East Asia,China,45 - 54,1387184,2017
398,North-East Asia,China,55 - 64,1208659,2017
399,North-East Asia,China,65 and Over,592494,2017
400,North-East Asia,China,Total,10625167,2018
401,North-East Asia,China,Under 25,1754962,2018
402,North-East Asia,China,25 - 34,3423026,2018
403,North-East Asia,China,35 - 44,1982819,2018
404,North-East Asia,China,45 - 54,1459596,2018
405,North-East Asia,China,55 - 64,1290364,2018
406,North-East Asia,China,65 and Over,714400,2018
407,North-East Asia,China,Total,11138658,2019
408,North-East Asia,China,Under 25,1812938,2019
409,North-East Asia,China,25 - 34,3515422,2019
410,North-East Asia,China,35 - 44,2076326,2019
411,North-East Asia,China,45 - 54,1520678,2019
412,North-East Asia,China,55 - 64,1456355,2019
413,North-East Asia,China,65 and Over,756939,2019
414,North-East Asia,China,Total,1302137,2020
415,North-East Asia,China,Under 25,287199,2020
416,North-East Asia,China,25 - 34,430749,2020
417,North-East Asia,China,35 - 44,269031,2020
418,North-East Asia,China,45 - 54,143532,2020
419,North-East Asia,China,55 - 64,109637,2020
420,North-East Asia,China,65 and Over,61989,2020
421,North-East Asia,Hong Kong,Total,708435,2015
422,North-East Asia,Hong Kong,Under 25,91222,2015
423,North-East Asia,Hong Kong,25 - 34,145834,2015
424,North-East Asia,Hong Kong,35 - 44,174682,2015
425,North-East Asia,Hong Kong,45 - 54,174385,2015
426,North-East Asia,Hong Kong,55 - 64,92982,2015
427,North-East Asia,Hong Kong,65 and Over,29330,2015
428,North-East Asia,Hong Kong,Total,690465,2016
429,North-East Asia,Hong Kong,Under 25,133727,2016
430,North-East Asia,Hong Kong,25 - 34,205427,2016
431,North-East Asia,Hong Kong,35 - 44,139887,2016
432,North-East Asia,Hong Kong,45 - 54,114740,2016
433,North-East Asia,Hong Kong,55 - 64,68256,2016
434,North-East Asia,Hong Kong,65 and Over,28428,2016
435,North-East Asia,Hong Kong,Total,798460,2017
